read_id	filename	sample_name	read_length	mean_quality	channel	read_number	start_time
24c61b5b-76e4-4e0c-b0fc-476de5b1a37c	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	416	13.78	90	15752	2022-11-09T11:29:38.753060+00:00
312b46a2-32f9-464f-bd02-6fc2951ecd58	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	221	10.13	59	16746	2022-11-09T11:31:17.753060+00:00
ccbde049-9b2f-4381-bf45-ed55249a85bf	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	633	12.24	189	15910	2022-11-09T11:32:32.753060+00:00
da859bf2-3b5a-457b-946f-1d999b4f51d4	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	268	11.83	203	17367	2022-11-09T11:33:22.753060+00:00
a6395f41-8c9b-4678-84bc-15943f2636b9	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	933	15.16	334	17207	2022-11-09T11:37:04.753060+00:00
9f9863e9-240b-47be-80d9-a1250cf78189	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	350	12.88	79	17259	2022-11-09T11:37:24.753060+00:00
2260d739-4c80-4f4a-82ca-b3383fc64ca1	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	218	11.80	210	19233	2022-11-09T11:37:50.753060+00:00
daa7e0a5-8dc3-4639-a209-10524ca69406	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	227	9.54	45	18435	2022-11-09T11:38:24.753060+00:00
7c333569-a7e7-4956-ba7f-317d11356c8f	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	464	10.66	422	21233	2022-11-09T11:39:04.753060+00:00
7d050497-5e66-460f-a28f-356669a9190a	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	204	10.44	314	21038	2022-11-09T11:39:15.753060+00:00
c8532caa-4c4b-4a6a-bb57-e9da44fc5cd2	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	342	15.62	479	19835	2022-11-09T11:41:01.753060+00:00
388e32c6-d5cb-4ab2-bbcd-e9600796da75	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	277	11.52	93	22821	2022-11-09T11:41:27.753060+00:00
acf67529-34dd-43d1-b51e-918077d0f992	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	895	10.40	112	24066	2022-11-09T11:43:07.753060+00:00
083e183d-c0fc-4abd-a59d-470926a5ce95	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	245	10.37	12	23733	2022-11-09T11:44:38.753060+00:00
1056cea5-46ff-4462-8c15-e37310cf8fb6	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	344	12.26	170	21622	2022-11-09T11:45:14.753060+00:00
0c2fff00-e02e-416b-821a-28dd3757af75	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	551	12.60	277	20073	2022-11-09T11:45:18.753060+00:00
a9500ab1-ca27-4f0c-8186-fc3e843d4a74	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	289	11.92	104	20431	2022-11-09T11:46:03.753060+00:00
81255138-de01-4abc-b22d-cb485842ac09	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	113	12.98	238	25467	2022-11-09T11:47:06.753060+00:00
036827b7-c033-4c5c-8bc9-3f4c4773b768	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	851	14.67	193	24590	2022-11-09T11:48:12.753060+00:00
473768f8-beeb-4b7b-8344-b14a8440ec21	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	869	10.37	346	19856	2022-11-09T11:48:32.753060+00:00
c53f09d8-3e4c-47e7-a7a1-92e29ac8669d	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	176	12.23	186	26499	2022-11-09T11:48:55.753060+00:00
2c10f35a-063b-42ab-999e-ea91898d3422	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	127	15.49	39	26002	2022-11-09T11:49:27.753060+00:00
3fa1fe63-25bb-496d-8fa3-54f856d11fb6	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	618	9.48	366	24018	2022-11-09T11:50:01.753060+00:00
8de8e799-cccc-4c32-a3d5-fc7185e5459f	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	863	14.56	467	26569	2022-11-09T11:50:19.753060+00:00
ef4337fe-6977-43ff-bde6-a5249cc37275	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	110	10.89	33	24886	2022-11-09T11:50:52.753060+00:00
936dde87-0ecb-4892-8789-ed6e21b51cb9	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	514	14.05	107	27557	2022-11-09T11:51:09.753060+00:00
0017ed3c-d2ed-4fdd-8231-00016d922485	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	1134	16.12	330	20777	2022-11-09T11:51:16.753060+00:00
a14eb94a-4ba6-4ec5-b3ad-271609e1d81e	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	819	12.27	106	28462	2022-11-09T11:51:57.753060+00:00
db0b819a-6471-4848-a9c4-da3b0da6a818	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	638	11.43	157	27735	2022-11-09T11:52:12.753060+00:00
e029d0c6-71fb-46f8-8546-4c705e426be3	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	693	11.77	92	27664	2022-11-09T11:53:28.753060+00:00
f57e360b-17dc-447e-85ad-7eedcb630420	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	448	11.76	438	25054	2022-11-09T11:53:59.753060+00:00
d50b2fd0-63e8-47e1-941b-25cc865f86c5	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	243	10.70	439	24917	2022-11-09T11:54:07.753060+00:00
528f60d7-dcb0-4a34-a0a4-84c6999f01d7	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	121	12.03	33	27024	2022-11-09T11:55:09.753060+00:00
18f1b66e-ee9e-4391-abe5-ede014cdd828	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	445	10.65	63	26318	2022-11-09T11:55:15.753060+00:00
8976d9e5-6951-4f5f-be0e-eb5313c415a3	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	741	12.34	274	26816	2022-11-09T11:55:15.753060+00:00
c9bbaac5-2af2-4669-8188-495e68a6db96	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	246	13.42	472	26078	2022-11-09T11:56:17.753060+00:00
384ab95f-7612-4303-a126-ab1d5194a482	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	1148	13.83	483	31870	2022-11-09T11:57:05.753060+00:00
6eb9f0c7-6829-4735-8e47-6f5f719e94c7	barcode60/FAS85214_pass_barcode60_53d112c1_0.fastq.gz	barcode60	210	10.10	248	29857	2022-11-09T11:57:09.753060+00:00
